,0
0,-19056.557097403995
1,-18533.31633512211
2,-16905.021781331605
3,-17114.965374155538
4,-13297.430297793024
5,-12365.148161353785
6,-11264.710494370063
7,-11417.557657588464
8,-8608.484232742925
9,-7081.43192002517
10,-6585.358600049239
11,-6467.586053693026
12,-4778.341246178231
13,-2754.0075584088686
14,-2781.018118761266
15,-2382.801065171484
16,-1664.1739912840933
17,696.7746384163315
18,324.7084974632279
19,905.6402671057901
20,905.3492412220742
21,3320.4015779453484
22,2858.2557970449125
23,3391.4295929434206
24,2967.2774806145408
25,5157.863411798434
26,4852.915303567965
27,5262.446977149057
28,4685.608818941163
29,6388.369930974057
30,6369.27817537734
31,6500.5965709683605
32,5996.38429818754
33,7095.59222318842
34,7396.417430385501
35,7216.874085631365
36,6904.586954386792
37,7442.149143459177
38,8052.789474907772
39,7630.75214746349
40,7456.1713348232715
41,7532.1061199947235
42,8337.462736066424
43,7786.163190391999
44,7703.952683176039
45,7398.406657292156
46,8220.827538416004
47,7656.175530783399
48,7578.577879617398
49,7140.585225055039
50,7860.648646041596
51,7347.822836796069
52,7222.361097109368
53,6725.123883387642
54,7219.036386180673
55,6889.990790357125
56,6661.702445852706
57,6218.920255292685
58,6477.7592803072475
59,6283.477017968118
60,5935.892255827126
61,5571.5340548885215
62,5617.960792723706
63,5569.381111514844
64,5192.970890518135
65,4930.00470466429
66,4778.290010660706
67,4767.561149636092
68,4319.35426700288
69,4095.980449659352
70,3842.615851452192
71,3883.3152929207586
72,3461.154989347443
73,3229.2600218990015
74,2944.605612620728
75,2946.7141130628515
76,2589.055840618035
77,2347.3684022464176
78,2068.709998834099
79,2044.5195754418269
80,1732.759543424066
81,1465.6306175090886
82,1244.6518965922648
83,1164.5651556955695
84,895.000937974
85,649.7976792370368
86,430.3790508142818
87,300.93243323482915
88,78.34804712933581
89,-163.10725398391963
90,-344.42338453857036
91,-504.6590149556105
92,-760.509052349356
93,-925.0595629482831
94,-1103.3956216085166
95,-1241.5650617645147
96,-1471.7359410774072
97,-1624.0769074075756
98,-1761.8261774834416
99,-1864.3766146067685
100,-2113.8972001952993
101,-2301.4867368420587
102,-2408.7883810716
103,-2446.3854631756562
104,-2661.6107734882467
105,-2803.4946632318406
106,-2970.102373083653
107,-2946.2991985181757
108,-3137.862475877569
109,-3255.2405081160687
110,-3344.3517721941416
111,-3394.9689144178824
112,-3516.7998813075997
113,-3697.965686020308
114,-3753.510620360708
115,-3799.2148501805464
116,-3825.582723972318
117,-4029.481538044805
118,-4053.1497921995806
119,-4098.674999328088
120,-4069.990707127546
121,-4261.695829203901
122,-4228.493884908019
